00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,00,01,02,02,02,02,00,01,00,01,00,01,00,01,00,01
03,03,03,03,03,03,03,03,03,03,03,04,05,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03
03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,06,07,08,03,03,03,03,03,03,03,03,03,03,03,03,03
03,03,03,03,04,05,03,03,09,10,05,03,03,03,03,11,12,13,03,03,03,03,03,03,03,03,03,03,03,04,05,03
03,04,14,15,03,03,16,17,03,03,06,07,08,03,18,19,04,05,03,06,07,08,03,03,03,04,05,03,03,03,16,17
20,21,15,15,03,03,20,20,03,11,12,13,03,03,22,23,03,03,11,12,13,03,09,10,05,03,03,20,20,03,20,20
24,25,24,25,24,25,24,25,18,19,18,19,04,05,26,27,03,18,19,04,05,03,03,28,24,25,24,25,24,25,24,25
29,30,29,30,29,30,29,30,22,23,22,23,03,03,31,32,03,22,23,03,03,03,03,33,29,30,29,30,29,30,29,30
34,03,03,03,34,03,03,03,35,36,26,27,18,19,35,36,03,26,27,09,10,05,03,28,24,25,34,04,05,03,34,03
37,03,09,10,37,38,39,40,41,42,31,32,22,23,41,42,03,31,32,03,03,03,03,33,29,30,37,03,03,09,37,05
37,03,03,28,24,25,43,44,45,46,35,47,48,36,45,46,39,35,36,03,49,43,44,50,24,25,37,03,03,03,37,03
37,51,52,53,29,30,54,43,43,55,41,56,57,15,43,55,58,41,59,60,15,61,42,62,29,30,37,51,52,63,37,63
24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25
29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30,29,30
