00,00,01,02,00,03,04,02,00,01,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
05,06,04,02,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07,08,07,08,08,00,00,00,00,00,00,00,00
09,10,11,12,13,05,06,00,00,14,15,16,14,00,01,02,00,17,18,19,20,20,21,21,18,18,18,18,22,23,20,20
24,25,09,24,24,09,10,00,00,00,15,16,00,11,13,00,01,02,00,26,27,28,27,27,00,00,00,29,27,27,27,27
24,30,25,24,25,24,24,13,03,04,31,05,06,32,24,00,00,00,00,26,00,31,00,03,04,02,00,00,00,33,06,00
24,34,30,24,30,24,24,10,11,13,35,36,37,38,39,13,00,03,04,26,00,35,00,00,00,00,00,00,03,40,24,00
21,21,20,20,18,18,24,24,09,24,40,09,24,09,24,24,00,00,01,02,11,40,13,00,00,01,02,05,09,40,24,09
27,27,28,27,24,24,24,24,15,16,40,24,24,41,08,24,13,00,00,00,42,40,24,00,03,04,02,43,39,40,24,24
33,24,33,24,24,24,14,14,21,21,44,21,19,18,18,18,18,18,02,05,09,40,24,06,05,06,00,32,24,40,24,24
40,24,40,24,24,24,24,45,27,27,28,27,19,24,24,24,33,11,13,36,46,40,24,37,36,37,00,43,39,40,24,24
40,24,40,47,21,21,24,24,33,24,33,24,19,24,14,24,40,09,24,48,20,20,24,47,22,23,44,21,24,40,24,24
40,24,40,45,27,27,24,24,40,24,40,24,19,24,49,24,40,24,24,14,50,27,41,08,27,27,28,27,51,52,24,24
22,23,21,21,21,44,23,23,40,24,40,47,22,23,18,18,22,22,22,44,21,21,18,18,22,21,21,22,44,21,44,21
27,27,27,27,27,28,27,27,40,24,40,45,27,27,24,45,27,27,27,28,27,27,24,45,27,27,27,27,28,27,28,27
