00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
01,02,03,04,01,02,01,02,01,02,05,05,06,06,00,00,07,08,09,00,00,00,00,10,11,12,05,05,01,02,03,04
13,13,13,13,13,13,14,03,15,16,13,13,00,00,00,00,17,18,07,08,00,00,00,01,19,02,13,13,13,13,13,13
05,05,05,05,05,05,01,02,03,04,05,05,00,00,00,00,20,21,22,23,00,00,00,00,24,12,05,05,05,05,05,05
25,01,19,02,13,13,13,13,13,13,13,13,06,06,26,27,13,13,13,13,00,00,00,00,01,14,24,00,25,00,25,28
29,24,24,12,05,05,05,05,05,05,05,05,00,00,26,12,05,05,05,05,14,00,00,00,00,30,31,15,19,19,19,32
29,01,11,19,33,15,19,19,14,34,04,10,03,14,00,00,25,24,25,03,04,00,00,34,14,35,11,00,25,00,25,00
29,00,11,00,30,00,00,00,01,36,19,04,00,11,00,00,29,37,29,00,00,00,00,30,10,09,11,38,06,06,06,06
29,00,07,08,35,00,07,08,24,00,25,03,14,30,00,00,29,38,06,06,26,00,00,00,07,08,01,15,16,14,00,00
29,00,17,18,09,00,39,40,11,00,29,00,10,35,34,02,29,00,25,00,26,00,07,08,17,18,03,02,11,11,00,00
34,15,41,42,07,08,17,18,31,14,29,00,30,09,30,38,06,06,29,00,26,00,39,40,41,42,14,00,10,11,07,08
11,00,20,21,22,23,20,21,11,10,29,00,35,09,35,00,25,00,29,00,26,00,22,23,20,21,10,00,11,31,43,44
13,13,13,13,13,13,13,13,13,13,13,13,09,09,09,00,29,00,29,27,13,13,13,13,13,13,13,13,06,06,06,06
05,05,05,05,05,05,05,05,05,05,05,05,45,45,45,45,45,45,45,45,05,05,05,05,05,05,05,05,25,24,25,00
