00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
01,01,01,02,03,02,03,03,01,01,01,01,01,01,01,01
01,04,05,06,07,07,08,08,05,05,05,05,09,0A,07,07
0B,0C,01,0D,0E,0F,0E,0E,01,01,01,10,0E,0E,0E,0E
01,01,01,0D,01,11,01,12,13,0C,01,01,01,14,15,01
01,12,13,0D,01,16,01,01,01,01,01,01,12,17,00,01
01,01,0B,0C,18,17,19,01,01,0B,0C,1A,1B,17,00,1B
19,01,01,01,1C,17,00,01,12,13,0C,1D,1E,17,00,00
05,05,0C,1A,1B,17,00,15,1A,15,01,1F,00,17,00,00
14,18,19,20,21,17,00,22,20,22,01,1D,1E,17,00,00
17,1B,00,23,07,07,00,24,09,0A,25,08,00,17,00,00
17,00,00,26,27,0E,28,03,0E,0E,0F,0E,29,2A,00,00
09,09,09,25,08,08,05,05,09,08,08,09,25,08,25,08
0E,0E,0E,0F,0E,0E,00,2B,0E,0E,0E,0E,0F,0E,0F,0E
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
01,01,0B,0C,01,12,13,0C,01,0B,0C,01,01,01,01,01
1A,15,13,0C,01,01,01,01,01,01,01,01,01,01,01,01
1B,2C,18,2D,19,1A,15,01,01,26,2E,2F,26,01,0B,0C
00,30,1B,00,00,1B,2C,01,01,01,2E,2F,01,18,19,01
00,31,30,00,30,00,00,19,12,13,11,1A,15,1F,00,01
00,32,31,00,31,00,00,2C,18,19,16,20,22,33,1E,19
08,08,07,07,05,05,00,00,1B,00,17,1B,00,1B,00,00
0E,0E,0F,0E,00,00,00,00,2E,2F,17,00,00,28,03,00
14,00,14,00,00,00,26,26,08,08,25,08,06,05,05,05
17,00,17,00,00,00,00,2B,0E,0E,0F,0E,06,00,00,00
17,00,17,24,08,08,00,00,14,00,14,00,06,00,26,00
17,00,17,2B,0E,0E,00,00,17,00,17,00,06,00,34,00
09,0A,08,08,08,25,0A,0A,17,00,17,24,09,0A,05,05
0E,0E,0E,0E,0E,0F,0E,0E,17,00,17,2B,0E,0E,00,2B
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
