00,00,01,02,03,04,05,05,05,06,07,08,09,0A,0B,0C
00,00,00,0D,03,0E,0F,10,11,12,13,14,15,16,17,18
00,00,01,19,1A,1B,1C,1D,1E,1A,1F,0A,0B,0C,0B,0C
00,00,00,20,21,22,23,24,25,21,25,16,17,18,17,18
00,01,00,0D,03,26,27,28,29,2A,09,0A,0B,0C,0B,0C
00,00,01,0D,03,2B,2C,0E,2D,2E,15,16,17,18,17,18
00,01,19,1A,1E,1A,1E,1A,1E,2F,1A,0A,0B,0C,0B,0C
00,00,20,21,25,23,24,21,25,21,30,16,17,18,17,18
00,00,01,0D,03,27,0F,31,32,2A,09,0A,0B,0C,0B,0C
00,00,33,34,03,2B,35,36,37,38,39,16,17,18,17,18
00,0D,03,3A,03,03,3B,28,3C,3D,3E,3F,40,41,41,42
00,00,02,43,03,03,04,05,05,06,3E,13,03,44,01,42
00,00,00,45,02,03,46,28,3C,47,3E,48,03,14,00,42
00,00,00,01,0D,49,2C,0E,3E,3E,4A,03,14,01,00,42
00,00,00,01,19,1A,1E,1B,1C,1A,1E,1A,1F,0A,0B,0C
00,00,00,00,20,21,25,21,23,24,25,21,30,16,17,18
00,00,01,00,34,0F,26,3E,27,3E,07,44,09,0A,0B,0C
00,00,00,00,02,3B,0E,4B,37,4C,13,14,15,16,17,18
00,01,00,01,19,1A,1B,1C,1E,1A,1F,0A,0B,0C,0B,0C
00,00,00,00,20,21,25,21,23,24,25,16,17,18,17,18
00,00,00,01,0D,03,26,3E,27,2A,09,0A,0B,0C,0B,0C
00,00,00,4D,34,03,04,05,05,06,44,16,17,18,17,18
00,00,34,3A,03,03,4E,4F,37,50,3E,0A,0B,0C,0B,0C
00,0D,03,43,03,03,3B,28,3C,51,13,16,17,18,17,18
00,00,02,14,02,03,04,05,05,06,07,08,41,0A,0B,0C
00,00,00,01,0D,03,46,0E,11,52,13,14,15,16,17,18
00,00,01,19,1A,1A,1E,1B,1C,1A,1E,1A,1F,0A,0B,0C
00,00,00,20,21,21,23,24,23,24,25,21,25,16,17,18
00,00,00,01,02,46,27,3E,27,0F,13,44,09,0A,0B,0C
00,01,00,00,0D,3B,2C,0E,11,53,54,14,01,16,17,18
00,00,00,01,19,1A,1E,1A,1E,1A,1F,0A,0B,0C,0B,0C
00,00,00,00,20,21,25,21,25,21,30,16,17,18,17,18
