00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
01,02,03,01,01,01,01,02,03,01,01,01,01,01,04,01
01,01,01,05,06,03,01,01,01,01,05,06,03,07,08,07
01,01,02,03,01,01,01,04,01,04,01,01,07,09,0A,09
05,06,03,01,04,04,07,0B,0C,0B,0C,0C,09,0D,0E,0D
0F,01,01,07,09,0A,09,00,0D,00,00,00,0D,00,10,0E
0A,0C,0C,09,00,00,00,0D,00,00,0D,00,11,00,10,10
00,0D,00,00,11,00,00,00,00,00,00,00,12,13,14,10
00,00,0D,00,15,00,16,00,00,00,00,00,12,13,17,18
00,00,00,00,19,1A,1B,1C,1D,1D,1D,1E,1C,1F,20,21
00,00,00,16,15,16,22,23,00,24,00,1E,22,25,26,23
11,1A,1B,1F,20,21,27,28,00,29,00,1E,27,2A,27,2A
15,2B,22,25,26,23,22,23,16,29,11,1E,25,26,22,23
1B,1F,27,2A,27,28,27,2A,1B,1F,20,21,27,2A,28,2A
22,23,22,23,22,23,22,23,22,23,28,23,22,23,22,23
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
02,03,01,01,02,03,01,01,01,01,01,01,01,01,01,01
01,01,01,01,01,01,01,01,01,01,01,01,04,05,06,03
01,05,06,03,01,01,01,01,01,01,01,07,0B,0F,04,01
01,01,01,04,01,01,01,01,02,03,07,09,00,0A,0B,0F
01,04,01,2C,0C,0F,05,06,03,07,09,0D,0E,00,0D,0A
04,2C,0C,09,0D,0A,0F,01,07,09,0D,00,10,0E,00,00
2D,09,00,0D,00,0E,0A,0C,09,00,00,0D,10,10,00,0E
2E,0D,00,2E,0E,10,1E,12,13,00,0E,00,18,2F,16,30
00,00,0E,00,10,10,1E,00,00,00,10,31,20,21,1B,1F
0D,00,10,0E,18,14,1E,00,00,00,18,16,22,23,22,23
00,0E,18,10,20,1C,1D,1D,1D,1D,1C,21,27,2A,27,2A
16,30,25,26,22,23,16,24,00,16,28,23,25,26,22,28
20,21,20,21,27,28,1B,1F,20,21,27,2A,27,25,26,2A
22,28,22,25,26,23,22,23,22,25,26,23,22,23,22,23
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
