00,01,00,02,03,04,05,06,07,01,00,02,03,04,05,06
07,03,04,05,06,07,00,02,03,04,05,07,06,05,04,03
02,00,06,01,00,05,01,03,01,06,04,03,00,01,00,04
05,01,00,02,07,01,03,04,00,02,01,02,05,06,03,05
07,06,05,04,03,02,00,01,07,06,05,04,03,02,00,01
06,00,01,00,01,06,08,09,0A,0B,0C,0D,0D,0E,0A,0B
04,02,07,02,04,08,0F,10,10,10,10,10,10,10,10,10
05,03,06,03,0C,0F,10,10,10,10,10,10,10,10,10,10
09,0A,11,12,10,13,14,15,16,17,18,10,10,10,10,10
10,10,19,1A,10,1B,16,16,16,16,16,10,10,10,10,10
10,10,1C,1D,1E,1B,16,16,16,16,16,10,10,10,10,10
1F,10,1C,1D,20,21,16,16,16,16,1A,10,10,10,10,10
22,23,1C,1D,1E,20,1A,24,25,26,10,10,10,10,10,10
27,28,16,1D,1E,20,29,10,10,10,10,10,10,10,10,10
10,10,2A,2B,23,1E,29,10,10,10,10,10,10,10,10,10
10,10,27,2C,2B,2D,29,10,10,10,10,10,10,10,10,10
10,10,10,27,28,16,2E,10,10,10,10,10,10,10,10,10
10,10,10,10,10,2F,16,30,10,10,10,10,10,10,10,10
10,10,10,10,10,10,2F,16,31,32,10,10,10,10,10,10
33,34,35,33,36,10,10,2F,16,16,17,32,10,10,10,10
01,00,02,03,37,10,10,10,1C,16,16,16,38,38,38,30
05,06,07,01,0F,10,10,10,1C,16,39,3A,3A,3A,2C,16
02,03,04,05,3B,10,10,3C,16,3D,10,10,10,10,1B,16
01,00,02,03,37,10,10,1B,3E,10,10,10,10,10,1B,3E
06,07,01,00,3F,10,10,1B,3E,10,10,10,10,10,1B,3E
03,04,05,0C,10,10,40,15,3E,10,10,10,10,10,1B,3E
00,02,03,10,10,41,16,42,26,10,10,10,10,10,1B,3E
07,01,37,10,41,16,3D,10,10,10,10,10,10,10,1B,3E
03,04,0F,10,1C,43,10,10,10,10,10,10,10,10,1B,44
45,0C,10,10,1C,1D,10,10,10,10,10,10,10,10,1B,3E
10,10,10,10,1C,46,47,47,47,47,47,47,47,47,48,3E
10,49,4A,4A,4B,4C,4A,4A,4A,4A,4A,4A,4A,4A,4D,4E
4F,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
51,52,52,52,53,54,52,52,52,52,52,52,52,52,55,56
57,47,47,58,59,46,58,58,58,58,58,58,58,58,48,16
26,10,10,2F,5A,5A,5A,5B,16,16,5A,5A,5A,5A,5A,5A
10,10,10,10,10,10,10,27,5C,43,10,10,10,10,10,10
10,10,10,10,10,10,10,20,1C,1D,10,10,10,10,10,10
10,10,10,10,10,10,10,1E,1C,1D,10,10,10,10,10,10
10,10,10,10,10,10,10,20,1C,1D,10,10,10,10,10,10
5D,5E,10,10,10,10,10,1E,1C,1D,10,10,10,10,10,10
05,06,5F,10,10,10,10,20,1C,1D,10,10,10,10,10,10
02,03,04,5F,10,10,10,1E,1C,1D,10,10,10,10,10,10
01,00,02,03,3B,10,10,20,1C,1D,10,10,10,10,10,10
05,06,07,01,60,10,10,1E,1C,1D,10,10,10,10,10,10
00,02,03,04,07,3B,10,20,1C,1D,10,10,10,10,40,61
05,06,07,01,04,60,10,1E,1C,1D,10,10,10,41,16,16
00,02,03,04,06,05,3B,20,1C,2E,10,10,41,16,1A,62
01,06,02,04,01,00,37,10,2C,16,38,38,16,1A,63,10
64,05,03,07,02,03,37,10,65,16,39,3A,3A,63,10,10
66,67,68,00,04,05,60,69,16,16,23,10,10,10,10,10
05,02,6A,6B,06,07,01,6C,2C,16,6D,10,10,10,10,10
04,01,6E,6F,00,02,03,60,36,10,10,10,10,10,10,10
07,06,70,64,04,05,06,07,37,10,10,10,10,10,10,10
02,03,04,71,01,00,02,03,37,10,10,10,10,10,10,10
72,01,07,73,6B,04,05,06,60,36,10,10,10,10,10,10
74,04,05,6A,75,07,00,02,03,37,10,10,10,10,10,10
76,77,06,01,73,78,79,79,64,60,10,10,10,10,10,10
7A,7B,02,03,6A,7C,16,16,7D,00,5F,10,10,10,10,10
7E,7F,77,07,00,73,16,16,16,07,01,10,10,10,10,10
7A,7E,76,77,01,6A,7C,16,16,64,3F,10,10,10,10,10
7E,7A,7E,7A,80,03,6A,81,82,7D,83,10,10,10,10,10
7A,7E,7A,7E,7A,80,84,85,85,86,87,28,17,47,58,23
7E,7A,7E,7A,7E,88,89,50,50,50,8A,8B,8C,10,27,8D
7A,7E,7A,7E,8E,06,01,8F,90,91,89,50,8A,92,93,10
7E,7A,7E,7A,94,03,04,05,06,07,01,95,91,89,50,96
7A,7E,7A,7E,97,05,06,07,01,00,02,03,04,5F,98,99
7E,7A,7E,7A,9A,01,00,02,03,04,05,06,07,08,10,10
7A,7E,7A,7E,7A,9B,06,07,01,00,02,03,04,60,10,10
7E,7A,7E,7A,7E,9C,03,04,05,06,07,01,00,02,5D,36
7A,7E,7A,7E,9D,9C,05,06,07,01,00,02,03,04,05,60
7E,7A,7E,7A,9E,9C,02,03,04,05,06,07,01,00,02,03
7A,7E,7A,7E,9F,A0,05,06,07,01,00,02,03,04,05,06
7E,7A,7E,7A,9D,A1,00,02,03,04,05,06,07,01,00,02
7A,7E,7A,7E,9E,9C,05,06,07,01,00,02,03,04,05,06
7E,7A,7E,7A,A2,A3,03,04,05,06,07,01,00,02,03,04
7A,7E,7A,9D,A1,07,01,00,02,03,04,05,06,07,00,02
7E,7A,7E,A2,A3,05,06,07,A4,A5,A6,A7,04,05,06,07
7A,7E,7A,A8,02,03,04,05,A9,16,16,AA,02,03,04,05
7E,7A,7E,A8,00,02,03,04,AB,16,16,AC,00,02,03,04
7A,7E,7A,A8,07,01,00,02,AD,AE,AF,B0,07,01,00,02
7E,7A,7E,B1,01,00,02,03,04,05,06,07,01,00,02,03
7A,7E,7A,9E,B2,05,06,B3,B4,B5,B6,03,04,05,06,07
7E,7A,7E,9F,9B,01,00,B7,16,16,B8,06,07,01,00,08
7A,7E,7A,9D,9C,02,03,B9,16,16,BA,01,00,02,03,BB
7E,7A,7E,A2,9C,05,06,BC,BD,BE,BF,03,04,05,C0,C1
7A,7E,7A,A8,9C,03,04,05,06,07,01,00,02,0C,C2,10
7E,7A,7E,B1,9C,01,00,02,03,04,05,06,09,C3,63,10
7A,7E,7A,9E,A3,C4,C5,C6,C7,03,04,01,BB,C8,10,10
7E,7A,7E,A2,B2,C9,16,16,CA,07,03,C0,C1,10,10,10
7A,7E,9D,A1,07,CB,16,16,CC,04,09,CD,10,10,10,10
7E,7A,9E,A3,05,CE,CF,D0,D1,02,3B,C2,10,10,10,10
7A,7E,A2,02,03,04,05,06,07,00,37,D2,10,10,10,10
7E,9D,A1,06,01,00,02,03,04,05,60,21,1F,10,10,10
7A,9E,A3,05,06,07,01,00,02,03,04,5F,D2,10,10,10
7E,A2,02,03,05,06,07,01,00,02,03,04,D3,1F,10,10
9D,A1,06,07,01,00,02,03,04,05,06,07,37,29,10,10
9E,9C,03,00,03,04,05,06,07,01,00,02,BB,C8,10,10
9E,A0,04,01,05,06,07,01,00,02,03,09,C2,10,10,10
9E,3E,07,02,04,05,06,07,01,00,02,3B,D2,10,10,10
9F,A1,06,07,01,00,02,03,04,05,06,37,C2,10,10,10
9D,9C,00,02,03,04,05,06,07,01,00,BB,C8,10,10,10
A2,A3,01,07,05,06,07,01,00,02,C0,C1,10,10,10,10
A1,00,02,04,03,04,05,06,07,01,CD,10,10,10,10,10
9C,01,06,03,06,A4,A5,A6,A7,03,CD,10,10,10,10,10
A3,06,05,01,04,A9,16,16,AA,08,C2,10,10,10,10,10
01,00,02,03,07,AB,16,16,AC,37,29,10,10,10,10,10
07,06,04,05,03,AD,AE,AF,B0,BB,C8,10,10,10,10,D4
02,03,07,04,01,00,02,03,04,CD,10,10,10,10,10,19
07,01,04,03,04,05,06,07,01,C2,10,10,10,10,10,1C
04,05,06,07,00,02,03,04,BB,D5,10,10,10,10,10,1C
00,02,03,04,05,06,07,0C,D6,10,10,10,10,10,10,1C
07,06,05,04,01,00,08,BB,D5,10,10,10,10,10,10,1C
03,02,00,01,02,03,0F,C2,10,10,10,10,10,10,10,1C
D7,05,04,07,04,08,41,C8,10,10,10,10,10,10,10,1C
D8,0B,02,03,05,BB,3D,10,10,10,10,10,10,10,10,1C
10,10,0D,D9,C0,D6,10,10,10,10,10,10,10,10,10,1C
10,10,10,40,DA,63,10,10,10,10,10,10,10,10,10,1C
10,40,DB,26,10,10,10,10,10,10,10,10,10,10,10,1C
41,3D,10,10,10,10,10,10,10,10,10,10,10,10,10,1C
26,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1C
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1C
10,10,10,10,10,10,10,10,10,DC,DD,DD,DD,10,10,1C
5F,DC,10,10,10,10,10,10,DE,02,00,01,07,35,33,DF
07,06,5F,E0,DC,E1,33,34,07,06,05,04,03,02,00,01
02,00,01,07,06,05,04,03,02,00,01,07,06,05,04,03
00,02,03,04,05,06,07,06,05,04,03,02,00,01,07,06
07,06,05,04,03,02,00,01,07,06,05,04,03,02,00,01
