00,01,02,03,04,05,06,07,00,01,02,03,04,05,06,07
05,06,07,00,01,02,03,04,05,06,07,00,01,02,03,04
02,03,00,01,02,03,04,00,01,02,03,04,05,06,00,01
01,02,01,07,03,04,03,02,07,05,04,06,00,04,05,00
04,05,06,02,00,01,02,04,06,00,07,05,07,03,04,07
02,00,03,00,01,02,05,03,04,01,04,02,06,02,03,06
08,09,0A,0B,0B,0C,0D,0D,0D,0A,0E,0F,07,01,02,05
10,11,12,12,12,12,12,12,12,12,12,12,13,03,07,04
10,11,12,12,12,12,12,12,12,12,12,12,10,14,13,02
10,11,12,12,12,12,12,12,12,12,12,12,10,11,12,13
10,15,16,12,12,12,12,12,12,12,12,12,10,11,12,12
10,15,15,16,12,12,12,12,12,12,12,12,10,11,12,12
10,11,17,15,16,12,12,12,12,12,12,12,10,11,12,12
10,11,12,17,15,16,12,12,12,12,12,12,10,11,12,12
10,11,12,12,17,15,18,12,12,12,12,12,19,11,12,12
10,11,12,12,12,1A,1B,12,12,12,12,1C,15,11,12,1D
10,11,12,12,12,1A,1B,12,12,12,1C,15,1E,11,12,12
10,11,12,12,12,1A,1B,12,12,1C,15,1F,10,11,12,12
10,11,12,12,12,1A,1B,12,1C,15,1F,12,10,11,12,20
10,11,12,12,12,1A,1B,1C,15,1F,12,12,10,11,12,12
10,11,12,12,12,1A,21,15,1F,12,12,12,10,11,12,1D
15,15,22,22,22,15,15,1F,12,12,12,12,10,11,12,12
23,23,23,23,23,24,11,12,12,12,12,12,10,11,12,20
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,1D
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,20
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,1D
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,20
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,1D
25,25,25,26,22,27,11,12,12,12,12,12,10,11,12,20
12,12,12,12,28,29,11,12,12,12,12,12,10,11,12,1D
12,12,12,2A,2B,2C,2D,2B,2B,2B,2B,2B,2C,2D,2B,2B
2B,2E,2F,30,30,30,30,30,30,30,30,30,30,30,30,30
31,31,31,32,33,34,35,36,36,36,36,36,34,35,36,36
36,36,12,12,12,10,11,12,12,12,12,12,10,11,12,20
22,22,22,22,22,15,15,22,22,22,22,22,15,11,12,1D
23,23,23,15,37,38,38,37,38,38,38,38,39,11,12,20
12,12,12,1A,1B,12,12,3A,12,12,12,12,19,11,12,1D
12,12,12,1A,3B,12,12,3A,12,12,12,1C,15,11,12,20
12,12,3C,15,15,16,12,3A,12,12,1C,15,1E,11,12,1D
12,12,3D,3E,17,15,16,3A,12,1C,15,1F,10,11,12,20
12,3C,15,3F,12,17,15,3A,1C,15,1F,12,10,11,12,1D
12,10,15,12,12,12,15,21,15,1F,12,12,10,11,12,20
12,10,15,12,40,41,15,15,1F,42,12,12,10,11,12,1D
12,10,15,41,15,15,43,44,45,46,12,12,10,11,12,20
40,47,15,15,43,44,12,45,01,48,12,12,10,11,12,1D
15,15,43,44,1D,20,49,07,06,48,12,12,10,11,12,20
15,4A,12,12,12,12,4B,05,04,4C,12,12,10,11,12,1D
15,4D,12,12,12,12,4E,03,02,48,12,12,10,11,12,20
17,15,4F,12,12,12,12,50,0A,12,12,12,10,11,12,1D
12,51,52,53,12,12,12,12,12,12,12,12,10,11,12,20
12,54,51,52,53,12,12,12,12,12,12,12,10,11,12,1D
12,12,54,51,52,53,12,12,12,12,12,12,10,11,12,20
12,12,12,54,51,4D,12,12,12,12,12,12,10,11,12,1D
12,12,12,12,10,11,12,12,12,12,12,12,10,11,12,20
12,12,12,12,10,11,12,12,12,12,12,12,10,11,12,1D
12,12,12,12,55,15,16,12,12,12,12,12,10,11,12,20
12,12,12,12,12,29,11,12,12,12,12,12,10,11,12,1D
12,12,12,12,12,10,11,12,12,12,12,12,10,11,12,20
