00,01,02,03,04,05,06,06,07,08,09,0A,09,0A,09,00
00,0B,0C,0D,05,06,06,0E,0F,10,11,12,13,14,13,00
00,01,02,03,04,00,00,15,15,16,17,0A,11,0A,09,00
00,01,18,02,03,04,19,1A,1A,1B,13,12,17,12,13,00
00,01,1C,01,1D,00,00,00,00,1E,1E,1E,1E,08,09,00
00,01,1F,01,1D,00,04,00,00,20,00,00,19,10,14,00
00,01,01,0B,21,00,00,00,00,20,22,23,23,16,09,00
00,18,01,01,1D,04,00,00,00,20,00,00,24,25,13,00
00,26,01,0B,21,00,04,00,00,1B,09,14,09,0A,09,00
00,01,01,01,02,03,00,00,24,25,13,12,13,12,13,00
00,01,18,01,0B,0D,00,00,00,27,24,08,09,14,09,00
00,01,1C,01,0B,03,00,19,28,29,28,10,11,12,13,00
00,01,1F,18,01,02,03,00,00,00,24,16,17,0A,09,00
00,18,01,26,18,01,1D,00,04,00,00,25,13,12,13,00
00,26,01,01,1C,01,1D,04,00,00,00,27,2A,16,09,00
00,01,01,01,1F,2B,0D,00,00,00,00,19,28,25,13,00
00,01,18,01,2B,0D,00,05,2C,16,09,0A,14,0A,09,00
00,01,1C,0B,21,04,00,00,24,25,13,12,13,11,13,00
00,01,1F,2B,0D,00,05,06,2D,08,09,0A,11,17,09,00
00,01,0B,21,00,05,06,06,07,10,13,12,17,12,13,00
00,01,01,02,03,04,00,04,00,2E,24,08,09,0A,09,00
00,01,01,01,02,03,04,00,05,06,07,1B,14,12,11,00
00,01,01,01,18,02,03,00,00,00,00,20,24,08,17,00
00,01,01,01,26,18,02,03,15,00,00,20,00,10,13,00
00,01,01,01,01,1C,01,1D,1A,00,00,20,22,16,09,00
00,01,01,01,01,1F,2B,0D,1E,1E,1E,20,24,25,13,00
00,18,01,01,01,2B,0D,05,06,06,0E,1B,09,14,09,00
00,26,01,01,01,1D,04,00,05,06,07,10,13,12,11,00
00,01,01,18,0B,2F,03,04,30,00,05,06,11,08,17,00
00,01,01,1C,01,01,1D,00,00,05,06,07,17,10,13,00
00,18,01,1F,01,0B,2F,03,04,00,00,05,2C,08,14,00
00,26,01,01,01,01,0B,31,30,00,04,00,24,10,13,00
