00,01,01,02,03,01,01,04,00,00,00,00,00,05,03,00
00,01,01,02,03,06,00,00,00,00,00,00,00,07,08,00
00,01,01,09,03,0A,0B,0B,0B,0B,0B,0B,0C,05,03,00
00,01,01,0D,03,01,0E,04,0F,00,0F,00,10,07,08,00
00,01,01,11,12,01,01,13,14,15,14,05,03,0D,03,00
00,01,01,11,01,01,01,16,16,01,01,07,08,05,03,00
00,01,01,11,01,16,01,17,18,06,19,09,03,05,03,00
00,01,01,11,01,18,01,01,0E,13,1A,0D,03,0D,03,00
00,01,1B,05,03,0E,01,01,01,06,19,1C,1B,11,1D,00
00,01,1B,05,03,01,01,1E,00,00,00,00,1F,11,00,00
00,01,20,02,08,21,22,0B,0B,0B,0B,02,03,05,03,00
00,01,1B,02,03,01,01,23,24,04,25,02,26,05,03,00
00,01,20,27,28,28,28,16,01,13,1A,29,2A,07,08,00
00,01,01,11,01,01,18,17,01,16,1E,00,00,0D,03,00
00,01,01,2B,16,01,0E,01,01,11,23,04,00,0D,03,00
00,01,01,01,17,01,01,01,1E,11,0A,0B,0B,0D,03,00
00,01,01,16,01,01,1E,00,00,11,00,00,00,11,1D,00
00,01,01,17,1E,00,0F,00,1B,11,00,2A,2C,11,00,00
00,01,01,01,23,15,2D,04,1F,11,00,00,00,09,03,00
00,01,01,2A,01,06,19,00,00,27,27,27,27,0D,03,00
00,01,01,2E,2E,13,1A,04,00,05,03,00,00,1C,1D,00
00,16,01,2F,2F,21,22,0B,0B,07,08,0A,0B,0B,0B,00
00,17,01,2A,01,18,1E,00,2E,05,03,00,00,00,00,00
00,01,01,01,01,0E,23,04,2F,05,03,0A,0B,0B,0B,00
00,16,01,01,01,1E,30,00,00,2A,1D,00,00,09,03,00
00,18,01,06,30,00,00,00,00,2A,00,00,00,09,03,00
00,0E,01,13,04,00,00,11,00,00,00,05,03,07,08,00
00,01,01,1E,00,31,32,11,00,00,00,05,03,05,03,00
00,16,16,33,00,00,00,02,03,00,00,1C,1D,05,03,00
00,17,18,23,04,31,32,02,08,0A,0B,0B,0B,05,03,00
00,01,06,30,31,32,34,05,03,00,00,00,00,09,03,00
00,01,13,04,00,00,00,05,03,0A,0B,0B,0B,0D,03,00
