00,02,02,02,02,03,13,17,0C,0E,0C,1B,20,28,0C,32
01,02,04,02,03,10,0A,0E,0C,0C,0F,1C,21,2F,0C,33
02,02,05,02,02,0D,0C,0C,0F,11,19,2B,20,28,0C,34
02,02,01,03,10,0A,0E,17,0C,0F,11,2C,21,2B,0C,35
00,02,02,02,0D,0E,0C,0F,11,19,20,28,2D,2C,0C,32
01,02,02,02,09,0B,0F,11,11,16,26,29,2F,29,0C,33
02,02,02,02,04,09,0B,18,18,18,27,1B,22,28,0C,32
02,02,02,02,05,02,0D,14,0C,0C,27,2A,23,29,0C,33
02,02,02,00,01,06,0A,15,0C,0C,27,0C,20,28,0C,32
02,02,02,01,06,0A,0C,0C,0C,0C,27,1B,21,2B,0C,33
02,02,02,06,0A,0E,0C,0F,11,19,26,2F,2D,2C,0C,36
02,02,06,0A,0E,0C,0E,0C,1F,1B,21,29,2E,29,0C,36
02,03,08,0C,0F,11,11,19,20,28,2D,2B,2D,28,0C,37
02,04,09,0B,0C,0F,11,1A,21,29,2E,2C,2B,29,0C,37
02,05,03,08,0E,0C,0C,1B,22,28,2D,28,2C,28,0C,0C
02,01,02,09,0B,0C,0F,1C,23,29,2E,2F,2E,29,0C,0C
02,02,02,04,09,0B,0C,0C,0C,0C,12,1D,22,28,0C,38
00,02,02,05,02,0D,0E,0C,0C,0C,25,31,23,29,0C,39
01,02,00,01,02,0D,0C,0E,0C,0C,22,28,2D,28,0C,3A
02,04,01,02,06,0A,0C,0C,0C,1B,23,2B,2E,29,0C,0C
02,05,02,03,0A,0C,12,1D,24,1D,20,2C,2D,28,0C,0C
02,01,02,03,0B,0C,0C,0C,25,1B,21,29,2F,29,0C,0C
02,02,02,06,0A,0C,0C,1B,22,28,2D,28,2D,28,0C,0C
00,02,03,08,0C,0E,0C,0C,26,29,2F,29,2E,29,0C,3B
01,02,02,0D,0E,0C,0C,0C,27,0C,0C,1B,22,28,0C,3C
02,02,03,08,0C,0C,0C,0C,27,2A,30,30,23,29,0C,3D
02,04,02,0D,0C,0E,0C,0C,27,0C,0C,12,20,2F,0C,36
02,05,02,0D,0C,0C,0C,0C,18,18,18,18,21,29,0C,36
02,01,06,0A,0E,12,14,14,26,28,2D,2B,2D,28,0C,32
02,06,0A,0E,0C,0C,15,15,23,2B,2E,2C,2E,29,0C,33
03,07,0B,0F,11,11,16,1E,20,2C,2D,28,2F,28,0C,34
02,06,0A,0E,0F,11,11,19,21,29,2E,29,2E,29,0C,35
