00,00,01,02,03,04,03,04,03,04,03,04,05,01,00,00
00,00,01,02,03,04,03,04,03,04,03,04,05,01,00,00
00,00,06,07,08,00,00,09,00,00,00,00,06,07,00,0A
00,00,0B,0C,0D,0E,0F,0F,00,00,10,00,0B,0C,11,12
00,07,13,14,15,16,17,18,17,18,19,00,13,14,06,1A
00,1B,0B,0C,00,1C,1D,1E,1D,1E,1F,0E,20,1B,20,21
00,22,13,14,08,00,00,00,23,00,24,16,06,07,25,22
00,26,20,1B,0D,0E,00,00,00,00,00,1C,0B,0C,27,26
00,22,06,07,15,16,19,00,28,00,28,0F,13,14,25,22
00,26,20,1B,0F,1C,1F,0E,28,00,28,00,0B,0C,27,26
00,22,06,07,0F,29,24,16,17,18,17,18,13,14,2A,2A
00,26,0B,0C,00,00,00,1C,1D,1E,1D,1E,20,1B,2A,2A
00,2A,13,14,00,00,00,0A,2B,2C,23,00,06,07,25,22
00,2A,0B,0C,00,00,11,12,2D,00,00,00,0B,0C,27,26
00,22,13,2E,2F,1A,2F,07,00,00,30,0F,13,14,25,22
00,26,20,21,31,21,32,0C,0F,00,00,00,0B,0C,27,26
00,22,25,22,2A,2A,13,14,0F,29,00,33,13,14,25,22
00,26,27,26,2A,2A,20,1B,00,00,34,35,20,1B,27,26
00,22,25,22,25,22,06,07,36,18,37,38,06,07,25,22
00,26,27,26,27,26,20,1B,39,1E,3A,00,20,1B,27,26
00,1A,2F,1A,2F,07,01,02,03,04,03,04,05,01,06,1A
00,21,31,21,31,1B,01,02,03,04,03,04,05,01,20,21
00,0A,2B,2C,0F,0F,17,18,23,00,00,00,01,00,00,00
00,12,2D,00,3B,00,1D,1E,00,00,00,00,28,00,00,00
00,2C,00,00,00,00,3C,3D,3E,00,28,00,28,00,00,00
00,00,00,00,00,00,00,3F,40,41,28,00,01,00,23,00
00,28,00,00,28,00,00,28,17,18,06,1A,2F,1A,2F,07
00,28,00,00,28,23,34,28,1D,1E,0B,42,31,21,31,1B
00,18,17,18,17,18,37,38,00,30,13,14,25,22,25,22
00,1E,1D,1E,1D,1E,3A,00,00,00,20,1B,27,26,27,26
00,00,0F,00,3C,3D,3E,00,43,0F,06,07,25,22,2A,2A
00,00,00,00,00,3F,40,41,00,0F,20,1B,27,26,2A,2A
