000,000,000,007,014,016,014,016,014,063,073,078,082,078,082,085
000,000,001,008,015,017,015,017,015,064,074,079,083,079,083,085
001,000,000,002,018,030,028,044,050,065,009,001,073,078,082,085
000,000,001,003,019,023,036,023,020,066,068,069,074,079,083,085
000,000,007,014,014,024,033,024,033,016,014,016,073,078,082,085
000,001,008,015,015,017,027,034,015,017,015,064,074,079,083,085
000,000,001,002,004,019,028,044,051,066,009,072,073,078,082,085
000,003,009,003,004,029,035,035,052,067,075,080,074,079,083,085
002,004,010,004,004,018,037,045,053,066,073,078,082,078,082,085
000,005,011,004,004,031,038,046,054,036,074,079,083,079,083,085
000,000,012,005,004,029,035,035,052,068,073,078,082,078,082,085
000,000,001,002,004,025,036,023,055,069,074,079,083,079,083,086
000,000,000,007,014,016,014,024,033,016,073,078,082,078,082,087
001,000,001,008,015,027,034,017,015,064,074,079,083,079,083,085
000,000,000,003,018,028,039,046,056,066,009,072,073,078,082,085
000,001,000,005,020,025,036,023,036,067,068,069,074,079,083,085
000,000,000,007,014,016,014,024,033,016,014,063,073,078,082,085
000,000,001,008,015,017,027,034,015,017,015,064,074,079,083,085
000,000,001,002,021,030,028,036,036,070,004,009,001,000,084,085
000,000,013,003,004,019,037,045,057,036,076,004,009,000,084,085
000,003,010,004,004,029,035,035,052,036,066,004,068,001,084,085
002,004,011,004,004,018,037,045,058,036,077,081,080,080,084,085
000,006,005,004,022,032,040,046,059,071,073,078,082,078,082,085
000,001,002,004,023,020,041,047,055,069,074,079,083,079,083,085
000,007,014,016,024,033,014,016,014,063,073,078,082,078,082,085
001,008,015,017,015,017,015,017,060,015,074,079,083,079,083,085
000,001,002,004,022,030,028,048,061,072,073,078,082,078,082,085
001,000,002,004,025,023,037,049,055,069,074,079,083,079,083,085
000,000,007,014,026,024,033,016,014,016,073,078,082,078,082,085
000,001,008,015,027,034,042,017,015,064,074,079,083,079,083,085
000,000,002,004,028,020,043,044,062,066,009,072,073,078,082,085
000,001,003,004,029,035,035,035,052,067,075,069,074,079,083,085
