00,00,01,00,00,00,00,00,02,00,00,00,00,01,00,00,00,00,00,00,00,02,00,00,00,01,00,01,00,00,00,00
00,00,00,00,00,01,00,03,04,05,00,00,00,00,00,01,00,00,00,00,03,04,06,01,07,08,01,00,00,01,00,01
00,01,00,01,07,08,01,09,10,11,12,01,00,01,00,00,00,01,01,13,10,11,05,02,14,15,02,02,07,08,02,03
07,08,02,03,14,15,02,03,04,04,05,02,07,08,03,05,07,08,02,03,04,04,04,04,16,17,04,04,14,15,04,04
14,15,18,19,14,15,04,04,04,04,04,04,14,15,18,20,14,15,21,04,04,04,22,23,24,15,22,25,26,27,28,29
16,17,30,23,24,17,19,29,18,31,29,25,16,27,28,25,16,17,30,19,29,18,32,20,33,17,30,23,24,34,20,35
14,15,28,36,33,27,28,35,37,38,35,36,14,34,39,36,14,27,28,37,35,37,40,41,14,15,28,37,33,42,43,35
16,17,44,23,24,34,44,35,45,46,35,23,24,17,46,23,24,34,36,45,35,45,46,47,16,17,48,49,16,17,44,35
14,15,50,20,33,15,51,52,53,54,52,55,33,15,56,36,33,15,36,57,52,58,59,55,14,60,61,55,14,15,62,52
63,64,65,66,16,17,66,67,66,36,68,69,16,64,66,67,16,17,70,36,36,36,71,69,63,15,72,69,16,64,66,67
73,74,09,68,14,15,09,75,73,74,73,74,73,74,09,68,14,15,04,76,66,77,73,74,73,74,73,74,73,74,09,75
78,79,01,69,16,64,72,80,78,79,78,79,78,79,72,69,63,64,09,04,04,81,78,79,78,79,78,79,78,79,72,69
82,83,73,74,73,74,73,74,82,83,82,83,82,83,73,74,73,74,01,09,68,80,82,83,82,83,82,83,82,83,73,74
78,79,78,79,78,79,78,79,78,79,78,79,78,79,78,79,78,79,00,00,01,80,78,79,78,79,78,79,78,79,78,79
